path	# lines of code
src/main/java/org/junit/runners/RuleContainer.java	81
src/main/java/org/junit/runners/Suite.java	65
src/main/java/org/junit/Test.java	17
src/main/java/org/junit/TestCouldNotBeSkippedException.java	7
src/main/java/org/junit/validator/AnnotationsValidator.java	90
src/main/java/org/junit/validator/AnnotationValidator.java	18
src/main/java/org/junit/validator/AnnotationValidatorFactory.java	20
src/main/java/org/junit/validator/PublicClassValidator.java	16
src/main/java/org/junit/validator/TestClassValidator.java	6
src/main/java/org/junit/validator/ValidateWith.java	12
src/site/resources/css/carousel.css	13
src/site/resources/css/junit-lambda.css	65
src/site/resources/css/plain-links.css	4
src/site/resources/scripts/index.js	11
src/site/site.xml	46
src/site/xdoc/index.xml	141
src/site/xhtml/junit-lambda-campaign.xhtml	67
src/site/xhtml/junit-lambda-contributors.xhtml	326
src/site/xhtml/junit-lambda-spending.xhtml	29
src/site/xhtml/junit-lambda.xhtml	30
src/site/xhtml/junit5.xhtml	11
