Metric		Current
UNIT_SIZE_EXTENSION_JAVA_MEDIUM_RISK_COUNT		25
UNIT_SIZE_EXTENSION_JAVA_HIGH_RISK_LOC		51
UNIT_SIZE_EXTENSION_JAVA_HIGH_RISK_PERCENTAGE		0.66
UNIT_SIZE_EXTENSION_JAVA_HIGH_RISK_COUNT		1
UNIT_SIZE_EXTENSION_JAVA_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JAVA_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JAVA_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		11
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		3
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		7,165
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		91.97
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		1,317
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		575
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		7.38
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		27
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		51
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		0.65
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_NEGLIGIBLE_RISK_LOC		7,165
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_NEGLIGIBLE_RISK_PERCENTAGE		91.97
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_NEGLIGIBLE_RISK_COUNT		1,317
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_LOW_RISK_LOC		575
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_LOW_RISK_PERCENTAGE		7.38
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_LOW_RISK_COUNT		27
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_MEDIUM_RISK_LOC		51
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_MEDIUM_RISK_PERCENTAGE		0.65
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_MEDIUM_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_LOC		7,154
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_PERCENTAGE		91.95
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_COUNT		1,314
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_LOC		575
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_PERCENTAGE		7.39
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_COUNT		27
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_LOC		51
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_PERCENTAGE		0.66
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		11
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		16
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		11
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		362
DUPLICATION_NUMBER_OF_CLEANED_LINES		9,508
DUPLICATION_PERCENTAGE		3.81
UNIT_DUPLICATES_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_DOC		254
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_DOC		254
DUPLICATION_PERCENTAGE_PRIMARY_DOC		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SRC		108
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SRC		108
DUPLICATION_PERCENTAGE_PRIMARY_SRC		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ROOT		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ROOT		0
DUPLICATION_PERCENTAGE_PRIMARY_ROOT		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_HTML		254
DUPLICATION_NUMBER_OF_CLEANED_LINES_HTML		1,148
DUPLICATION_PERCENTAGE_HTML		22.13
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JAVA		108
DUPLICATION_NUMBER_OF_CLEANED_LINES_JAVA		7,069
DUPLICATION_PERCENTAGE_JAVA		1.53
TOTAL_ANALYSIS_TIME_IN_MILLIS		3,781
